name,address
찌꼬뽀꼬 발산점, 서울특별시 강서구 마곡동로4길 15 호텔 엠팰리체건물 1층 114호
찌꼬뽀꼬 신림점, 서울특별시 관악구 신림동길 19 1층
찌꼬뽀꼬 화정점, 경기도 고양시 덕양구 화신로272번길 48 유퍼스트빌딩 1층 106호
찌꼬뽀꼬 마곡나루점, 서울특별시 강서구 마곡중앙로 161-11 A-126호
찌꼬뽀꼬 부천로데오점, 경기도 부천시 원미구 부일로459번길 20 1층 106호
찌꼬뽀꼬 계양점, 인천광역시 계양구 계산새로87번길 6 103호
찌꼬뽀꼬 연남2호점, 서울특별시 마포구 동교로 242 1층 찌꼬뽀꼬 연남2호점
찌꼬뽀꼬 목동점, 서울특별시 양천구 오목로 345 제1층 115호
찌꼬뽀꼬 마곡나루2호점, 서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 상가동 1층 140호
찌꼬뽀꼬 발산2호점, 서울특별시 강서구 강서로 385 우성에스비타워 1층 120호
찌꼬뽀꼬 시흥점, 경기도 시흥시 중심상가3길 10 107호
찌꼬뽀꼬 공주점, 충청남도 공주시 번영2로 69 101호, 109호
지이월드, 부산광역시 남구 문현로66번길 131 1층
캑티 가챠샵 종각점, 서울특별시 종로구 종로12길 9 1~2층
캑티 가챠샵 홍대점, 서울특별시 마포구 어울마당로 62
캑티 가챠샵 수유점, 서울특별시 강북구 한천로139길 42
캑티 가챠샵 건대점, 서울특별시 광진구 아차산로 219 1층 102호
캑티 가챠샵 천호점, 서울특별시 강동구 천호대로157길 11 캑티 가챠샵 천호점
캑티 가챠샵 잠실새내점, 서울특별시 송파구 백제고분로7길 24 1층
캑티 가챠샵 은계점, 경기도 시흥시 은계번영길 11
캑티 가챠샵 화정점, 경기도 고양시 덕양구 화신로272번길 58 1층 103-2호
캑티 가챠샵 미사점, 경기도 하남시 미사강변동로 95 1층 1077호
캑티 가챠샵 서현점, 경기도 성남시 분당구 서현로210번길 17 1층
캑티가챠샵 배곧점, 경기도 시흥시 서울대학로278번길 26
탑TOP 인형뽑기 서촌점, 서울특별시 종로구 자하문로1길 21 1층
탑TOP 인형뽑기 삼양역점, 서울특별시 강북구 솔매로 75 1층 우측호(미아동)
TOP인형뽑기 본점, 서울특별시 성북구 동소문로20나길 22 1층
TOP인형뽑기, 서울특별시 강북구 삼양로27길 43 위브 테라스 파크
탑인형뽑기 부평점, 인천광역시 부평구 부평대로12번길 10
탑인형뽑기 수원역점, 경기도 수원시 팔달구 향교로 57
TOP뽑기, 대구광역시 달서구 야외음악당로39길 72
TOP인형뽑기 송탄점, 경기도 평택시 관광특구로 37 1층
탑인형뽑기, 울산광역시 동구 봉수로 329
봉봉스테이션, 인천광역시 서구 봉오재3로94번길 19 1층 119,120호
봉봉스테이션, 경기도 광명시 오리로856번길 8 1층 101호
봉봉스테이션, 인천광역시 미추홀구 미추홀대로 744
봉봉스테이션, 서울특별시 성북구 동소문로22길 19
봉봉스테이션, 경기도 용인시 처인구 명지로60번길 8-4
봉봉스테이션, 서울특별시 노원구 노해로81길 16 화랑상가
봉봉스테이션, 경기도 김포시 김포한강9로 95 123호
봉봉스테이션 신촌점, 서울특별시 서대문구 연세로 6
봉봉스테이션, 충청북도 청주시 상당구 중고개로141번길 11-6 113,114호
봉봉스테이션, 울산광역시 남구 삼산로277번길 8
봉봉스테이션, 충청북도 청주시 청원구 상당로 239 1층
봉봉스테이션, 부산광역시 중구 광복로 44
봉봉스테이션, 대구광역시 수성구 수성못길 12
봉봉스테이션, 경상북도 구미시 옥계북로 22
봉봉스테이션, 울산광역시 남구 왕생로40번길 31
봉봉스테이션, 부산광역시 남구 용소로13번길 17
봉봉스테이션 인천삼산점, 인천광역시 부평구 체육관로 32 1층 109호
