store_id,name,address,lat,lng
2bea7835,짱오락실 강남2호점,서울특별시 강남구 강남대로 442,37.5020858941495,127.026069579038
db7bdbc3,짱오락실 강남대로점,서울특별시 강남구 강남대로 428,37.5008659330556,127.026869951723
a0679daf,짱오락실 서울대입구점,서울특별시 관악구 관악로15길 6,37.4804012577558,126.952064224267
54074981,짱오락실 신림점,서울특별시 관악구 신림로59길 12,37.4833603915256,126.929194016907
0c5e2572,짱오락실 구리돌다리점,경기도 구리시 검배로6번길 7,37.6000607564335,127.141206385629
4940e8a1,짱오락실 하남미사점,"경기도 하남시 미사강변중앙로 180",37.563075753693,127.190836889545
ce42a66c,짱오락실 부천점,경기도 부천시 원미구 부일로 460,37.4859289034233,126.781014901276
094557d3,짱오락실 부평점,인천광역시 부평구 부평문화로80번길 27,37.4930633911784,126.724549051277
33ec0262,짱오락실 인천앨리웨이도화점,인천광역시 미추홀구 숙골로88번길 12,37.4695305506994,126.664593164043
202759f1,짱오락실 안산고잔점,경기도 안산시 단원구 광덕2로 185,37.3099220585195,126.831369363383
ebb45234,짱오락실 수원역점,경기도 수원시 팔달구 향교로 13-1,37.2681120826881,127.002648081841
b88a5e14,짱오락실 에버랜드점,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.294066695953,127.202128029885
43031118,짱오락실 동탄타임테라스점,경기도 화성시 동탄중앙로 220,37.2048484896364,127.069281504509
231f0a53,짱오락실 동탄타임테라스2호점,경기도 화성시 동탄중앙로 200,37.2028261340813,127.068880217889
8c7486c6,짱오락실 이천점,경기도 이천시 어재연로37번길 16,37.2803234016327,127.444898005273
2a5d8c03,영종짱랜드,인천광역시 중구 공항문화로 127,37.4655300794822,126.389117686755
8595ca1e,짱오락실 영종도인스파이어점,인천광역시 중구 용유로 700,37.4652582279902,126.375735811829
52181b3a,짱오락실 천안신부점,"충청남도 천안시 동남구 먹거리11길 37",36.8183899607763,127.156643998903
b1989a41,짱오락실 청주점,충청북도 청주시 상당구 성안로 13,36.6359128128813,127.489494062369
1f42714f,짱오락실,대전광역시 유성구 문화원로 89,36.3592619362646,127.345737368344
9fb2b3e6,짱오락실 대전둔산점,"대전광역시 서구 둔지로 14",36.350897177035,127.376155431833
bfec6889,짱오락실 대전점,대전광역시 중구 대종로480번길 26,36.3277570027378,127.428076373956
f7ba2e1b,짱오락실 대구동성로점,대구광역시 중구 동성로6길 36,35.8684901547008,128.597235566761
e80288f5,짱오락실 대구태왕스파크점,대구광역시 중구 동성로6길 61,35.8687083802364,128.598741541322
35dcf3c7,짱오락실 광주첨단점,광주광역시 광산구 첨단강변로99번길 66,35.2157914508042,126.849027157494
df5f2a30,짱오락실 울산성남점,울산광역시 중구 젊음의거리 48,35.5536237572433,129.319503004166
2eca5963,짱오락실 울산점,울산광역시 남구 달삼로75번길 13,35.5378784146745,129.336871982151
4cdfe4c2,짱오락실 부산삼정타워점,부산광역시 부산진구 중앙대로 672,35.153006221653,129.059606320437
33ee5f3c,짱오락실 부산광안리점,부산광역시 수영구 광안해변로278번길 42,35.1539704411162,129.124515022228
78e325e6,짱오락실 부산서면점,부산광역시 부산진구 중앙대로692번길 16,35.1542165338519,129.060122589084
505b385c,짱오락실 제주나인몰점,"제주특별자치도 제주시 과원로 128",33.4806950788032,126.494650091938
85b4b7b7,오늘또뽑기,서울특별시 광진구 능동로 286,37.5552854250898,127.078716081812
0f53a681,오늘또뽑기,서울특별시 중랑구 망우로 206,37.5935918570841,127.075795873069
76f6f4b4,오늘또뽑기,서울특별시 중랑구 면목로 318,37.5802323207696,127.088455941098
9378e1d1,찌꼬뽀꼬,인천광역시 동구 화수로 70,37.4845066346317,126.631365637293
a32cf6db,찌꼬뽀꼬 연남점,서울특별시 마포구 동교로 243,37.561720227063,126.924131053478
4961a3ac,찌꼬뽀꼬 발산점,서울특별시 강서구 마곡동로4길 15,37.5598184721733,126.83524805093
51b4ec23,찌꼬뽀꼬 신림점,서울특별시 관악구 신림동길 19,37.4870561064946,126.926617506183
448dbce3,찌꼬뽀꼬 화정점,경기도 고양시 덕양구 화신로272번길 48,37.6329584933191,126.831962496119
03e74526,찌꼬뽀꼬 마곡나루점,서울특별시 강서구 마곡중앙로 161-11,37.5680142599276,126.826732885929
639d7105,찌꼬뽀꼬 부천로데오점,경기도 부천시 원미구 부일로459번길 20,37.4868337019701,126.781895898807
c733121d,찌꼬뽀꼬 계양점,인천광역시 계양구 계산새로87번길 6,37.5385034245832,126.738024962726
0438a546,찌꼬뽀꼬 연남2호점,서울특별시 마포구 동교로 242,37.5614156250297,126.924450876158
efef7e91,찌꼬뽀꼬 목동점,서울특별시 양천구 오목로 345,37.5247775349288,126.875820730078
e911632b,찌꼬뽀꼬 마곡나루2호점,서울특별시 강서구 마곡중앙5로 6,37.5673140391214,126.827554917518
98a87ef9,찌꼬뽀꼬 발산2호점,서울특별시 강서구 강서로 385,37.5600926354663,126.838304106686
505770b0,찌꼬뽀꼬 시흥점,경기도 시흥시 중심상가3길 10,37.3453335388273,126.73688394074
707f71d0,찌꼬뽀꼬 공주점,"충청남도 공주시 번영2로 69 ",36.47320429765,127.136192921629
430bce7a,지이월드,부산광역시 남구 문현로66번길 131,35.1384337415533,129.073805899236
43a3732f,캑티 가챠샵 종각점,서울특별시 종로구 종로12길 9,37.5696321635786,126.985908263935
37f93f3e,캑티 가챠샵 홍대점,서울특별시 마포구 서교동 407-22,37.5505605043975,126.921422083823
f7c040c5,캑티 가챠샵 수유점,서울특별시 강북구 수유동 192-61,37.6389043576722,127.0249019433
e63e452b,캑티 가챠샵 건대점,서울특별시 광진구 화양동 48-14,37.5411500476267,127.067933135235
cf99bb3f,캑티 가챠샵 천호점,서울특별시 강동구 천호동 454-52,37.5384315491424,127.126743543198
f303fb0a,캑티 가챠샵 잠실새내점,서울특별시 송파구 잠실동 191-7,37.5103990904449,127.081509446673
eb923ca5,캑티 가챠샵 은계점,경기도 시흥시 은계번영길 11,37.4374038066999,126.802160476001
ceafe17e,캑티 가챠샵 화정점,경기도 고양시 덕양구 화신로272번길 58,37.6336579503165,126.832104914896
baa63deb,캑티 가챠샵 미사점,경기도 하남시 미사강변동로 95,37.5637312032917,127.191741670397
09130fa9,캑티 가챠샵 서현점,경기도 성남시 분당구 서현로210번길 17,37.385511463925,127.124611601822
d0405b8f,캑티가챠샵 배곧점,경기도 시흥시 서울대학로278번길 26,37.3688931519186,126.727827885587
15891c36,탑TOP 인형뽑기 서촌점,서울특별시 종로구 자하문로1길 21,37.5763758684697,126.971187736463
ba77fe3d,탑TOP 인형뽑기,서울특별시 강북구 솔매로 75,37.6249883662314,127.020669965557
a048f824,TOP인형뽑기 본점,서울특별시 성북구 동소문로20나길 22,37.5922301820385,127.017967183388
c04c1280,TOP인형뽑기,서울특별시 강북구 삼양로27길 43,37.6185504851986,127.018847158476
